好好生活 慢慢相遇：30歲，想把溫柔留給自己,作者：黃山料,https://www.books.com.tw/products/0010891987?loc=P_0003_040
全知讀者視角03,作者：sing N song,https://www.books.com.tw/products/0010914628?loc=P_0003_041
我也曾想過，殺了過去的自己。：做自己，是需要付出代價的。（博客來獨家雙書衣+明信片版）,作者：Peter Su,https://www.books.com.tw/products/0010913105?loc=P_0003_042
天鵝與蝙蝠【博客來獨家書封愛恨曲折版】,作者：東野圭吾,https://www.books.com.tw/products/0010913801?loc=P_0003_043
窮查理的普通常識（增修版）：巴菲特50年智慧合夥人查理．蒙格的人生哲學,作者：查理‧蒙格,https://www.books.com.tw/products/0010817729?loc=P_0003_044
療傷遊戲 重新開始 2,作者：日ノ原巡,https://www.books.com.tw/products/0010910608?loc=P_0003_045
颶光典籍四部曲：戰爭節奏（上下冊套書）,作者：布蘭登．山德森,https://www.books.com.tw/products/0010915078?loc=P_0003_046
轉念的力量（限量新春暖心版）：不被念頭綁架，選擇你的人生，讓心靈自由,作者：賴佩霞,https://www.books.com.tw/products/0010914547?loc=P_0003_047
您好！歡迎光臨別家門市【博客來獨家限定番外別冊特別版】：台灣NO.1「超商系」插畫粉絲團「別家門市」首度開張！臉書、IG超過20萬粉絲敲碗期待！,作者：茉莉,https://www.books.com.tw/products/0010915242?loc=P_0003_048
《與你襄遇》林襄寫真書,作者：林襄,https://www.books.com.tw/products/0010913847?loc=P_0003_049
天鵝與蝙蝠【限量精裝版】：每本均附有東野圭吾燙金印刷簽名＋專屬收藏編號,作者：東野圭吾,https://www.books.com.tw/products/0010913798?loc=P_0003_050
打敗疫情：1年賺1400萬的肥羊養股術,作者：翁建原,https://www.books.com.tw/products/0010914215?loc=P_0003_051
新制多益TOEIC題庫解析：狠準5回聽力＋閱讀模擬試題，完全反映最新命題趨勢、全方位建立新制多益實戰能力！(雙書裝＋2MP3),作者：Hackers Academia,https://www.books.com.tw/products/0010792645?loc=P_0003_052
藍色時期 11 (首刷限定版),作者：山口飛翔,https://www.books.com.tw/products/0010914523?loc=P_0003_053
我的網紅男友外傳小說～現正同居中～ 全 (首刷限定版),作者：碰碰俺爺,https://www.books.com.tw/products/0010915501?loc=P_0003_054
戀上換裝娃娃 7,作者：福田晋一,https://www.books.com.tw/products/0010913784?loc=P_0003_055
如果歷史是一群喵(9)：五代十國篇【萌貓漫畫學歷史】,作者：肥志,https://www.books.com.tw/products/0010916142?loc=P_0003_056
破繭而出的蝴蝶,作者：孫中光,https://www.books.com.tw/products/0010914016?loc=P_0003_057
烘焙女王的減醣料理課＋烘焙女王的黃金關鍵30天瘦身日記 【合購、親簽＋贈品】,作者：麥田金,https://www.books.com.tw/products/0010916263?loc=P_0003_058
只買4支股，年賺18%（全新加強版）,作者：施昇輝,https://www.books.com.tw/products/0010850513?loc=P_0003_059
Notion人生管理術：從0開始，打造專屬自己的All in One高效數位系統,作者：牧羊妮,https://www.books.com.tw/products/0010912201?loc=P_0003_060
蒼之炎,作者：羽生結弦,https://www.books.com.tw/products/0010860824?loc=P_0003_061
高手學習：「精英日課」人氣作家，教你學精、學廣，煉成別人拿不走的超強自學力,作者：萬維鋼,https://www.books.com.tw/products/0010881760?loc=P_0003_062
